> Benchmarking: FireDataMapperTest
time: 3000; iterations: 40; calls: 128
> Iteration  0: 8 ops/ms | 8064 ops/s
> Iteration  1: 8 ops/ms | 8064 ops/s
> Iteration  2: 8 ops/ms | 8064 ops/s
> Iteration  3: 8 ops/ms | 8106 ops/s
> Iteration  4: 8 ops/ms | 8149 ops/s
> Iteration  5: 8 ops/ms | 8064 ops/s
> Iteration  6: 8 ops/ms | 8192 ops/s
> Iteration  7: 8 ops/ms | 8106 ops/s
> Iteration  8: 8 ops/ms | 8064 ops/s
> Iteration  9: 8 ops/ms | 8106 ops/s
> Iteration 10: 7 ops/ms | 7978 ops/s
> Iteration 11: 8 ops/ms | 8149 ops/s
> Iteration 12: 8 ops/ms | 8021 ops/s
> Iteration 13: 8 ops/ms | 8149 ops/s
> Iteration 14: 8 ops/ms | 8021 ops/s
> Iteration 15: 8 ops/ms | 8021 ops/s
> Iteration 16: 8 ops/ms | 8106 ops/s
> Iteration 17: 8 ops/ms | 8064 ops/s
> Iteration 18: 8 ops/ms | 8064 ops/s
> Iteration 19: 8 ops/ms | 8149 ops/s
> Iteration 20: 8 ops/ms | 8064 ops/s
> Iteration 21: 8 ops/ms | 8106 ops/s
> Iteration 22: 8 ops/ms | 8064 ops/s
> Iteration 23: 8 ops/ms | 8106 ops/s
> Iteration 24: 8 ops/ms | 8149 ops/s
> Iteration 25: 8 ops/ms | 8106 ops/s
> Iteration 26: 8 ops/ms | 8149 ops/s
> Iteration 27: 8 ops/ms | 8064 ops/s
> Iteration 28: 8 ops/ms | 8106 ops/s
> Iteration 29: 8 ops/ms | 8106 ops/s
> Iteration 30: 8 ops/ms | 8106 ops/s
> Iteration 31: 8 ops/ms | 8192 ops/s
> Iteration 32: 8 ops/ms | 8108 ops/s
> Iteration 33: 8 ops/ms | 8021 ops/s
> Iteration 34: 8 ops/ms | 8106 ops/s
> Iteration 35: 8 ops/ms | 8021 ops/s
> Iteration 36: 8 ops/ms | 8021 ops/s
> Iteration 37: 8 ops/ms | 8106 ops/s
> Iteration 38: 8 ops/ms | 8106 ops/s
> Iteration 39: 8 ops/ms | 8064 ops/s
> Best: 8 ops/ms
> Executed handler 24192 times

> Benchmarking: DynamicDataMapperTest
time: 3000; iterations: 40; calls: 128
> Iteration  0: 21 ops/ms | 21077 ops/s
> Iteration  1: 21 ops/ms | 21376 ops/s
> Iteration  2: 21 ops/ms | 21077 ops/s
> Iteration  3: 21 ops/ms | 21162 ops/s
> Iteration  4: 21 ops/ms | 21205 ops/s
> Iteration  5: 20 ops/ms | 20778 ops/s
> Iteration  6: 21 ops/ms | 21034 ops/s
> Iteration  7: 21 ops/ms | 21120 ops/s
> Iteration  8: 21 ops/ms | 21120 ops/s
> Iteration  9: 21 ops/ms | 21162 ops/s
> Iteration 10: 21 ops/ms | 21034 ops/s
> Iteration 11: 21 ops/ms | 21290 ops/s
> Iteration 12: 21 ops/ms | 21034 ops/s
> Iteration 13: 20 ops/ms | 20864 ops/s
> Iteration 14: 21 ops/ms | 21120 ops/s
> Iteration 15: 21 ops/ms | 21034 ops/s
> Iteration 16: 21 ops/ms | 21205 ops/s
> Iteration 17: 21 ops/ms | 21120 ops/s
> Iteration 18: 21 ops/ms | 21034 ops/s
> Iteration 19: 20 ops/ms | 20992 ops/s
> Iteration 20: 20 ops/ms | 20949 ops/s
> Iteration 21: 21 ops/ms | 21077 ops/s
> Iteration 22: 21 ops/ms | 21077 ops/s
> Iteration 23: 21 ops/ms | 21034 ops/s
> Iteration 24: 21 ops/ms | 21205 ops/s
> Iteration 25: 21 ops/ms | 21034 ops/s
> Iteration 26: 21 ops/ms | 21248 ops/s
> Iteration 27: 21 ops/ms | 21077 ops/s
> Iteration 28: 21 ops/ms | 21077 ops/s
> Iteration 29: 21 ops/ms | 21248 ops/s
> Iteration 30: 21 ops/ms | 21034 ops/s
> Iteration 31: 21 ops/ms | 21162 ops/s
> Iteration 32: 21 ops/ms | 21077 ops/s
> Iteration 33: 21 ops/ms | 21120 ops/s
> Iteration 34: 21 ops/ms | 21248 ops/s
> Iteration 35: 21 ops/ms | 21034 ops/s
> Iteration 36: 21 ops/ms | 21248 ops/s
> Iteration 37: 20 ops/ms | 20906 ops/s
> Iteration 38: 20 ops/ms | 20949 ops/s
> Iteration 39: 21 ops/ms | 21077 ops/s
> Best: 21 ops/ms
> Executed handler 63232 times

